Register;DOY;Hour;PAR;Tair;RH;VPD
1;212;0;0;16.375;93.78333333;0.115749398
2;212;1;0;16.075;93.85;0.112338696
3;212;2;0;15.98;94.03333333;0.108330668
4;212;3;0;15.76833333;93.05;0.124487922
5;212;4;0.6425;15.475;92.08333333;0.139162966
6;212;5;20.2415;16.195;88.35;0.214439758
7;212;6;188.63;18.35833333;83.13833333;0.35586805
8;212;7;253.9166667;19.6;70.535;0.67195695
9;212;8;597.2333333;22.93833333;67.15666667;0.919076906
10;212;9;567.9;23.55333333;67.44166667;0.945563186
11;212;10;450.1166667;24.29666667;65.97;1.033421497
12;212;11;759.6833333;24.44;62.62;1.144934139
13;212;12;421.3833333;25.68166667;64.08333333;1.184518696
14;212;13;478.0333333;26.72333333;63.51833333;1.279443473
15;212;14;424.0166667;26.99;63.19333333;1.311216544
16;212;15;384.5166667;26.24333333;61.81333333;1.301909503
17;212;16;327.3833333;25.71166667;63.605;1.202429307
18;212;17;283.8333333;24.52666667;67.28833333;1.007151095
19;212;18;235.3833333;22.81833333;70.05166667;0.831998021
20;212;19;127.5196667;21.51833333;72.95166667;0.694262267
21;212;20;0.449666667;19.875;79.65166667;0.472032402
22;212;21;0;18.75833333;85.89833333;0.305164292
23;212;22;0;17.14333333;86.8;0.258059976
24;212;23;0;16.57166667;90.7;0.175339227
25;213;0;0;16.19833333;88.61666667;0.209575811
26;213;1;0;16.31166667;89.08333333;0.202441324
27;213;2;0;16.14333333;90.66666667;0.171231987
28;213;3;0;16.26333333;89.98333333;0.185180251
29;213;4;0.514166667;16.18166667;91.13333333;0.163068645
30;213;5;77.549;17.38166667;88.1;0.236177959
31;213;6;226.45;19.66666667;80.14333333;0.454714367
32;213;7;286.15;21.30333333;70.81833333;0.739224144
33;213;8;503.15;23.03833333;68.86333333;0.876604467
34;213;9;434.8833333;23.88833333;67.82833333;0.953351094
35;213;10;353.9166667;24.38166667;68.65;0.956892138
36;213;11;698.7;24.98333333;63.36833333;1.159000932
37;213;12;455.1333333;25.84166667;58.77666667;1.37247343
38;213;13;497.3333333;26.67333333;60.92;1.366545751
39;213;14;446.55;27.00833333;61.12;1.386568365
40;213;15;416.6;26.37;58.52666667;1.424564758
41;213;16;352.0166667;25.66666667;59.40333333;1.337673855
42;213;17;305.65;24.23166667;60.83833333;1.184638429
43;213;18;235.9666667;23.075;63.01666667;1.043518898
44;213;19;124.1891667;21.32833333;74.51166667;0.646655156
45;213;20;0.256833333;20.10166667;78.76;0.499679507
46;213;21;0;19.19666667;88.11833333;0.264252206
47;213;22;0;18.53333333;87.31666667;0.270634901
48;213;23;0;18.34333333;90.07666667;0.20923658
49;214;0;0;17.805;88.58333333;0.232717032
50;214;1;0;18.27;90.46666667;0.200090826
51;214;2;0;17.59166667;89.38333333;0.213519708
52;214;3;0;18.41166667;89.61666667;0.219875698
53;214;4;0.449666667;18.55333333;86.66666667;0.28486096
54;214;5;73.23783333;18.91;84.23333333;0.34444321
55;214;6;219.4;20.215;77.88166667;0.524001379
56;214;7;260.4;21.75;72.00833333;0.728721139
57;214;8;532.8666667;23.40833333;65.09166667;1.004992498
58;214;9;424.7833333;23.925;66.38833333;0.99821894
59;214;10;535.3333333;24.65333333;63.58166667;1.129793057
60;214;11;663.05;24.99333333;58.91166667;1.300781449
61;214;12;453.1166667;25.91666667;57.30166667;1.427903705
62;214;13;481.4;26.96666667;55.185;1.594324609
63;214;14;426.2833333;26.46666667;55.18833333;1.548025452
64;214;15;267.1833333;26.03833333;58.76333333;1.388978402
65;214;16;188.05;25.84333333;72.825;0.904842998
66;214;17;169.3166667;24.69;72.55833333;0.853179066
67;214;18;162.5;23.24;77.35;0.645492633
68;214;19;104.3783333;21.31666667;76.11333333;0.605586826
69;214;20;-0.128333333;19.98666667;83.32833333;0.389426542
70;214;21;-0.064166667;19.45;86.84666667;0.297182639
71;214;22;0;18.56666667;88.75;0.24055213
72;214;23;0;18.22166667;88.7;0.236452327
73;215;0;0;18.21666667;90.28333333;0.203257302
74;215;1;0;17.90333333;89.28333333;0.219804574
75;215;2;0;18.42833333;88.58333333;0.242010027
